COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
CRITTENDEN,1,2,2,0,3,1,2,3,34,45,20,41,11,17,8,8,6,14,12,2,16,4,8,12,4,4,1,16,9,3,150,160,306,0,299,232,209,156,202,229,206,217,169,172,264,200,144,202,167,834,254,162,180,129,128,120,186,188,143,179,1,2,2,0,3,1,2,3,34,45,20,41,11,17,8,8,6,14,12,2,16,4,8,12,4,4,1,16,9,3,17,46,17,0,11,31,36,17,16,25,24,24,17,22,48,18,18,30,10,92,24,37,34,15,22,34,47,16,17,22,0
CUMBERLAND,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,260,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,324,0,308,0,96,0,0,0,0,170,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,47,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,42,0,109,0,44,0,0,0,0,35,0
DAVIESS,1,0,0,2,0,0,0,1,2,9,5,12,4,3,5,0,3,0,6,0,1,0,1,3,2,2,1,0,3,1,322,0,0,198,0,0,0,237,200,243,144,260,393,233,240,0,214,0,124,0,133,0,380,129,98,302,252,0,140,252,1,0,0,2,0,0,0,1,2,9,5,12,4,3,5,0,3,0,6,0,1,0,1,3,2,2,1,0,3,1,46,0,0,29,0,0,0,60,59,56,12,166,174,43,66,0,46,0,142,0,97,0,137,32,16,30,195,0,25,53,0
EDMONSON,0,1,0,0,0,0,0,0,0,0,12,0,3,2,0,1,0,0,3,0,0,2,1,2,0,0,0,3,0,0,0,142,0,0,0,0,0,0,0,0,157,0,203,208,0,236,0,0,151,0,0,146,185,150,0,0,0,117,0,0,0,1,0,0,0,0,0,0,0,0,12,0,3,2,0,1,0,0,3,0,0,2,1,2,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,21,0,57,84,0,88,0,0,23,0,0,92,12,8,0,0,0,23,0,0,0
ELLIOTT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,499,0,0,0,0,245,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,440,0,0,0,0,9,0,0,0,0,0,0,0,0,380,0,0
ESTILL,3,1,0,0,0,0,1,0,0,0,1,2,7,0,4,0,2,0,0,0,0,4,0,2,1,0,0,0,0,1,174,164,0,0,0,0,132,0,0,0,188,324,243,0,224,0,202,0,0,0,0,234,0,216,233,0,0,0,0,142,3,1,0,0,0,0,1,0,0,0,1,2,7,0,4,0,2,0,0,0,0,4,0,2,1,0,0,0,0,1,30,101,0,0,0,0,19,0,0,0,15,56,13,0,25,0,12,0,0,0,0,19,0,68,99,0,0,0,0,10,0
FAYETTE,0,1,6,6,1,0,3,0,5,10,4,1,5,2,4,11,15,3,0,3,0,0,1,2,8,0,0,0,0,0,0,429,486,256,660,0,313,0,528,191,804,286,354,260,222,461,948,416,0,368,0,0,208,373,326,0,0,0,0,0,0,1,6,6,1,0,3,0,5,10,4,1,5,2,4,11,15,3,0,3,0,0,1,2,8,0,0,0,0,0,0,332,83,13,420,0,64,0,393,14,134,35,74,10,36,384,432,387,0,365,0,0,203,74,314,0,0,0,0,0,0
FLEMING,1,2,0,0,0,3,0,0,1,0,0,4,1,11,13,2,4,6,10,8,4,3,2,0,2,5,3,2,0,2,232,324,0,0,0,163,0,0,301,0,0,183,909,223,258,371,242,358,334,350,228,324,192,0,258,466,158,266,0,196,1,2,0,0,0,3,0,0,1,0,0,4,1,11,13,2,4,6,10,8,4,3,2,0,2,5,3,2,0,2,90,84,0,0,0,35,0,0,83,0,0,68,564,33,30,50,106,146,78,84,45,124,26,0,100,244,62,63,0,169,0
FLOYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANKLIN,3,0,0,3,6,0,2,4,5,1,1,6,0,3,6,11,2,10,6,5,8,2,2,1,0,2,3,1,2,3,426,0,0,414,258,0,318,208,298,177,196,295,0,193,446,340,278,352,286,273,226,178,426,205,0,168,162,179,219,319,3,0,0,3,6,0,2,4,5,1,1,6,0,3,6,11,2,10,6,5,8,2,2,1,0,2,3,1,2,3,300,0,0,399,345,0,18,136,36,213,213,346,0,110,492,199,160,184,220,156,114,74,183,337,0,14,34,11,72,345,0
