COUNTY,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
FRANKLIN,4,9,3,0,7,3,4,3,1,0,0,5,0,0,0,5,0,3,3,2,2,2,6,1,4,9,2,1,6,249,234,399,189,0,227,235,226,292,269,0,0,344,0,0,0,361,0,322,193,233,360,218,206,168,179,170,292,102,171,2,4,9,3,0,7,3,4,3,1,0,0,5,0,0,0,5,0,3,3,2,2,2,6,1,4,9,2,1,6,230,301,78,150,0,72,296,126,308,75,0,0,285,0,0,0,251,0,164,228,278,68,296,58,294,146,50,48,36,297,0
FULTON,23,14,25,42,66,45,32,44,13,90,38,23,34,12,15,10,37,18,12,24,16,15,0,7,14,7,1,0,0,300,291,256,305,288,288,242,238,315,227,258,290,329,261,273,216,245,179,292,273,216,323,261,0,218,310,303,309,0,0,45,23,14,25,42,66,45,32,44,13,90,38,23,34,12,15,10,37,18,12,24,16,15,0,7,14,7,1,0,0,74,74,78,65,74,68,56,64,71,82,84,83,97,76,88,53,48,50,90,58,43,98,84,0,57,98,103,69,0,0,0
GALLATIN,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,0,1,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,270,0,1355,0,0,0,0,0,0,0,265,0,0,321,268,164,0,58,0,0,252,254,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,0,1,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,88,0,327,0,0,0,0,0,0,0,95,0,0,50,104,69,0,12,0,0,204,72,0,0
GARRARD,0,2,2,8,36,17,19,24,29,3,39,27,12,6,6,1,13,41,0,8,0,4,4,1,0,3,0,0,1,211,0,394,333,225,240,190,232,232,256,190,253,226,194,320,275,295,208,250,0,218,0,358,176,223,0,173,0,0,116,8,0,2,2,8,36,17,19,24,29,3,39,27,12,6,6,1,13,41,0,8,0,4,4,1,0,3,0,0,1,66,0,392,193,178,90,100,106,92,72,58,101,66,80,102,103,150,77,127,0,74,0,87,72,94,0,44,0,0,15,0
GRANT,0,0,0,2,0,0,0,0,3,0,3,0,1,1,1,0,0,0,1,0,1,4,2,0,2,5,0,0,2,0,0,0,0,264,0,0,0,0,286,0,526,0,1311,353,345,0,0,0,375,0,290,225,314,0,242,300,0,0,437,0,0,0,0,2,0,0,0,0,3,0,3,0,1,1,1,0,0,0,1,0,1,4,2,0,2,5,0,0,2,0,0,0,0,55,0,0,0,0,102,0,484,0,241,53,98,0,0,0,95,0,117,150,132,0,6,87,0,0,40,0
GRAVES,17,23,14,5,0,3,9,15,0,27,13,3,0,1,0,2,4,14,12,0,19,42,11,0,2,3,1,0,0,361,368,421,341,265,0,382,234,260,0,300,332,273,0,419,0,250,307,364,274,0,242,252,273,0,393,212,248,0,0,19,17,23,14,5,0,3,9,15,0,27,13,3,0,1,0,2,4,14,12,0,19,42,11,0,2,3,1,0,0,110,102,117,84,43,0,86,56,79,0,70,99,46,0,164,0,24,147,126,58,0,118,88,34,0,107,80,211,0,0,0
GRAYSON,4,1,20,1,4,16,12,22,25,7,1,8,2,8,21,11,13,16,16,10,18,10,13,22,9,13,18,7,1,254,188,181,193,195,313,254,242,229,263,251,226,198,220,182,246,157,166,174,166,145,220,90,198,194,118,216,170,274,254,4,4,1,20,1,4,16,12,22,25,7,1,8,2,8,21,11,13,16,16,10,18,10,13,22,9,13,18,7,1,114,25,30,74,29,132,75,65,44,56,62,88,50,74,62,70,36,42,41,27,40,46,30,20,54,39,65,32,61,100,0
GREEN,22,4,5,0,0,2,1,6,2,0,0,1,3,0,9,8,0,1,0,1,0,11,2,0,0,0,0,0,1,460,332,306,181,0,0,413,137,278,167,0,0,157,124,0,265,161,0,191,0,179,0,262,110,0,0,0,0,0,172,19,22,4,5,0,0,2,1,6,2,0,0,1,3,0,9,8,0,1,0,1,0,11,2,0,0,0,0,0,1,194,160,144,47,0,0,126,83,92,32,0,0,20,51,0,220,12,0,153,0,44,0,78,115,0,0,0,0,0,158,0
GREENUP,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,351,97,316,0,0,0,0,0,0,0,281,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,99,95,53,0,0,0,0,0,0,0,42,0,0,21,0,0,0,0
HANCOCK,8,8,4,5,8,2,5,0,0,2,2,0,0,0,0,4,1,2,0,0,6,0,1,0,3,0,0,0,2,233,245,318,286,221,501,220,293,0,0,332,226,0,0,0,0,282,157,134,0,0,218,0,220,0,258,0,0,0,96,3,8,8,4,5,8,2,5,0,0,2,2,0,0,0,0,4,1,2,0,0,6,0,1,0,3,0,0,0,2,106,68,110,124,84,201,36,87,0,0,156,38,0,0,0,0,46,5,22,0,0,50,0,123,0,75,0,0,0,18,0
HARDIN,151,99,105,95,110,92,36,71,20,30,61,26,8,12,31,42,142,120,40,108,70,198,88,123,97,57,89,82,108,281,307,307,285,286,264,254,272,261,235,249,269,294,276,269,253,288,234,252,217,213,231,238,230,236,218,196,220,232,214,132,151,99,105,95,110,92,36,71,20,30,61,26,8,12,31,42,142,120,40,108,70,198,88,123,97,57,89,82,108,50,79,75,61,56,56,59,80,61,54,34,55,118,94,102,68,70,56,53,50,42,54,56,47,57,71,44,45,48,47,0
HARLAN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARRISON,2,4,18,11,21,3,12,14,6,8,1,0,9,0,4,1,7,9,8,1,5,7,3,8,3,2,13,6,4,276,263,197,230,318,333,358,312,296,308,488,268,0,553,0,219,393,385,345,230,240,258,255,359,256,395,268,327,678,288,12,2,4,18,11,21,3,12,14,6,8,1,0,9,0,4,1,7,9,8,1,5,7,3,8,3,2,13,6,4,222,210,123,65,330,188,191,126,84,229,212,34,0,94,0,216,67,74,111,96,51,117,93,166,94,259,140,270,586,270,0
HART,2,3,1,4,6,0,8,0,1,0,3,0,0,0,1,0,1,0,0,0,0,2,3,0,1,7,3,0,3,341,340,197,196,337,235,0,232,0,209,0,108,0,0,0,211,0,320,0,0,0,0,209,299,0,426,259,108,0,227,9,2,3,1,4,6,0,8,0,1,0,3,0,0,0,1,0,1,0,0,0,0,2,3,0,1,7,3,0,3,61,55,48,18,86,32,0,57,0,143,0,26,0,0,0,13,0,23,0,0,0,0,89,28,0,42,55,20,0,43,0
HENDERSON,11,13,6,47,44,2,2,47,16,0,0,4,5,8,1,0,3,11,6,0,3,1,1,0,0,0,0,0,0,234,276,307,303,360,274,398,196,246,225,0,0,150,400,243,286,0,508,225,260,0,179,245,156,0,0,0,0,0,0,5,11,13,6,47,44,2,2,47,16,0,0,4,5,8,1,0,3,11,6,0,3,1,1,0,0,0,0,0,0,37,61,65,50,77,40,112,50,55,59,0,0,51,97,58,70,0,65,61,104,0,57,27,16,0,0,0,0,0,0,0
HENRY,1,1,1,3,2,1,0,2,5,0,2,0,8,0,1,0,0,4,6,0,0,1,1,3,1,9,1,1,9,318,409,234,318,259,230,514,0,302,414,0,347,0,298,0,142,0,0,304,248,0,0,236,310,410,258,164,232,301,172,2,1,1,1,3,2,1,0,2,5,0,2,0,8,0,1,0,0,4,6,0,0,1,1,3,1,9,1,1,9,523,611,472,50,91,246,418,0,154,619,0,276,0,74,0,177,0,0,139,238,0,0,324,60,125,216,151,164,501,89,0
HICKMAN,206,257,247,175,172,224,147,145,140,94,20,11,8,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,290,324,301,321,306,282,282,308,297,278,259,269,277,227,186,299,213,0,0,162,0,0,0,270,0,0,0,0,0,0,100,206,257,247,175,172,224,147,145,140,94,20,11,8,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,82,88,92,89,94,89,89,134,103,74,80,103,113,76,59,60,108,0,0,103,0,0,0,70,0,0,0,0,0,0,0
HOPKINS,128,21,7,30,29,6,8,1,38,0,4,1,0,9,1,0,4,24,2,3,5,2,0,11,4,8,4,4,0,254,259,266,220,240,198,194,194,180,236,0,450,140,0,180,88,0,160,264,210,165,168,160,0,181,331,422,196,208,0,16,128,21,7,30,29,6,8,1,38,0,4,1,0,9,1,0,4,24,2,3,5,2,0,11,4,8,4,4,0,34,68,47,78,56,36,34,18,28,50,0,66,32,0,20,7,0,16,130,55,88,22,78,0,54,38,118,90,41,0,0
JACKSON,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,292,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,420,0,0,0,0,0,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,174,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,96,0,0,0,0,0,86,0
JEFFERSON,6,0,5,0,20,13,1,0,2,0,4,0,8,0,1,0,0,0,0,2,1,3,9,0,1,1,0,7,7,257,225,0,192,0,258,255,238,0,238,0,304,0,352,0,226,0,0,0,0,215,183,153,215,0,433,611,0,212,222,5,6,0,5,0,20,13,1,0,2,0,4,0,8,0,1,0,0,0,0,2,1,3,9,0,1,1,0,7,7,54,45,0,155,0,93,201,13,0,56,0,76,0,54,0,146,0,0,0,0,30,48,47,23,0,205,254,0,61,43,0
JESSAMINE,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,3,3,1,0,0,0,227,569,294,0,0,0,0,0,0,91,0,0,0,321,0,0,0,361,439,0,0,0,298,0,156,118,260,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,3,3,1,0,0,0,490,595,384,0,0,0,0,0,0,126,0,0,0,60,0,0,0,332,133,0,0,0,480,0,439,105,364,0,0,0
JOHNSON,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,74,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,9,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
KENTON,7,0,1,0,3,3,3,0,4,1,0,5,0,0,0,3,0,0,8,5,4,1,0,0,2,0,0,0,8,438,300,0,405,0,391,397,309,0,284,358,0,173,0,0,0,397,0,0,260,251,256,335,0,0,218,0,0,0,202,2,7,0,1,0,3,3,3,0,4,1,0,5,0,0,0,3,0,0,8,5,4,1,0,0,2,0,0,0,8,90,63,0,198,0,102,60,64,0,130,69,0,55,0,0,0,139,0,0,92,113,102,246,0,0,68,0,0,0,58,0
KNOTT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0
KNOX,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,190,148,228,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,38,68,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
LARUE,12,19,13,13,11,12,17,8,9,16,4,6,6,4,5,1,13,9,37,2,0,4,4,8,17,1,6,0,2,263,348,226,315,450,254,194,258,248,187,256,266,160,152,178,302,336,262,273,246,280,0,209,209,222,258,200,304,0,102,19,12,19,13,13,11,12,17,8,9,16,4,6,6,4,5,1,13,9,37,2,0,4,4,8,17,1,6,0,2,78,77,28,75,161,90,55,124,78,37,62,41,34,34,68,91,121,69,71,48,108,0,203,50,73,53,26,172,0,25,0
LAUREL,0,0,0,0,0,2,0,2,0,0,0,0,1,4,0,0,3,0,0,2,0,0,0,0,0,0,0,2,2,185,0,0,0,0,0,349,0,268,0,0,0,0,285,138,0,0,359,0,0,130,0,0,0,0,0,0,0,324,381,2,0,0,0,0,0,2,0,2,0,0,0,0,1,4,0,0,3,0,0,2,0,0,0,0,0,0,0,2,2,63,0,0,0,0,0,348,0,352,0,0,0,0,264,64,0,0,329,0,0,97,0,0,0,0,0,0,0,167,70,0
LAWRENCE,1,4,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,306,170,153,181,0,0,0,0,0,339,116,297,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,129,56,7,20,0,0,0,0,0,15,41,17,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
LEE,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,4,0,0,0,0,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,0,252,0,199,156,0,296,0,0,0,0,198,0,150,228,0,203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,4,0,0,0,0,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,26,0,13,33,0,54,0,0,0,0,15,0,102,43,0,51,0,0,0,0
LESLIE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LETCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
LEWIS,4,0,0,0,0,2,1,1,0,1,2,2,0,1,2,3,0,2,4,1,0,0,5,1,1,2,0,0,0,0,280,0,0,0,0,230,140,323,0,160,116,276,0,127,276,147,0,236,228,171,0,0,193,48,125,250,0,0,0,0,4,0,0,0,0,2,1,1,0,1,2,2,0,1,2,3,0,2,4,1,0,0,5,1,1,2,0,0,0,0,97,0,0,0,0,106,25,63,0,42,35,41,0,61,105,48,0,44,118,14,0,0,17,44,55,42,0,0,0,0
LINCOLN,13,6,16,7,17,4,11,30,16,23,28,11,16,18,16,14,21,32,1,17,15,24,33,9,39,16,40,14,16,267,292,234,284,234,245,322,157,260,215,201,250,242,227,192,258,263,269,270,423,268,186,199,230,177,223,168,388,200,282,12,13,6,16,7,17,4,11,30,16,23,28,11,16,18,16,14,21,32,1,17,15,24,33,9,39,16,40,14,16,86,55,40,80,25,74,202,59,76,70,84,74,74,70,79,84,80,74,112,219,149,59,54,86,106,60,65,110,54,64,0
LIVINGSTON,1,16,4,5,9,12,28,0,8,0,4,3,1,3,0,0,1,0,5,4,0,13,10,31,1,2,0,1,7,469,149,228,119,254,203,100,178,0,150,0,164,65,164,91,0,0,225,0,136,214,0,167,168,85,71,295,0,298,172,1,1,16,4,5,9,12,28,0,8,0,4,3,1,3,0,0,1,0,5,4,0,13,10,31,1,2,0,1,7,168,14,52,84,103,103,51,80,0,82,0,104,66,37,49,0,0,24,0,46,38,0,47,44,15,37,134,0,37,14,0
LOGAN,20,14,7,4,15,12,3,2,9,21,50,35,30,26,41,9,22,25,0,10,8,3,3,1,16,7,2,3,0,278,364,398,355,264,381,176,254,474,378,255,348,360,286,262,272,174,404,394,0,188,220,149,167,139,289,144,163,328,0,23,20,14,7,4,15,12,3,2,9,21,50,35,30,26,41,9,22,25,0,10,8,3,3,1,16,7,2,3,0,58,73,52,69,52,89,38,74,188,74,61,109,72,62,54,52,56,74,78,0,60,61,50,21,89,66,58,62,25,0,0
LYON,4,1,1,0,11,1,7,2,4,2,0,3,2,0,91,3,9,3,6,5,0,17,8,11,4,4,1,2,0,0,250,186,162,0,336,364,474,304,260,108,0,264,162,0,197,227,232,356,350,263,0,287,216,123,238,276,372,278,0,0,4,1,1,0,11,1,7,2,4,2,0,3,2,0,91,3,9,3,6,5,0,17,8,11,4,4,1,2,0,0,74,29,17,0,65,168,75,106,30,15,0,30,62,0,33,21,31,52,82,66,0,107,58,28,52,102,30,72,0,0
MADISON,0,0,0,0,0,3,0,1,10,2,2,7,2,8,0,5,8,6,2,1,3,0,4,3,0,4,5,1,0,0,0,0,0,0,0,213,0,382,262,360,202,328,301,258,0,267,183,414,304,178,108,0,273,222,0,227,212,153,0,0,0,0,0,0,0,3,0,1,10,2,2,7,2,8,0,5,8,6,2,1,3,0,4,3,0,4,5,1,0,0,0,0,0,0,0,64,0,243,120,178,66,98,122,108,0,40,44,70,124,182,40,0,144,88,0,68,34,207,0,0
MAGOFFIN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,155,122,0,0,0,0,0,0,0,0,0,0,130,0,334,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,50,0,66,0,101,0,0,0,0,0,0,0,0
MARION,17,24,23,12,18,13,7,23,9,6,3,2,0,6,0,5,2,3,7,26,4,16,0,1,4,4,4,1,3,357,290,286,266,242,278,307,320,284,451,258,330,312,0,210,0,251,654,178,363,428,286,242,0,932,361,261,246,260,172,13,17,24,23,12,18,13,7,23,9,6,3,2,0,6,0,5,2,3,7,26,4,16,0,1,4,4,4,1,3,66,39,69,53,72,70,68,62,47,121,50,108,50,0,60,0,63,182,22,119,392,60,81,0,349,32,80,64,104,56,0
MARSHALL,5,2,1,0,4,0,1,0,0,0,4,0,9,0,13,3,5,44,1,2,6,21,0,9,9,0,21,0,1,0,252,456,451,0,302,0,184,0,0,0,248,0,157,0,151,187,266,208,73,175,183,188,0,261,182,0,87,0,185,0,5,2,1,0,4,0,1,0,0,0,4,0,9,0,13,3,5,44,1,2,6,21,0,9,9,0,21,0,1,0,50,63,201,0,64,0,95,0,0,0,30,0,20,0,30,67,62,52,10,38,56,21,0,30,66,0,16,0,39,0
MASON,15,10,7,7,2,3,4,8,2,3,2,15,2,5,10,11,6,11,0,6,1,6,3,0,2,4,0,1,1,247,277,214,262,323,455,267,336,386,298,257,360,271,181,239,296,276,387,313,0,310,279,230,265,0,214,226,0,302,128,4,15,10,7,7,2,3,4,8,2,3,2,15,2,5,10,11,6,11,0,6,1,6,3,0,2,4,0,1,1,76,111,90,99,75,150,111,71,103,85,84,84,102,95,63,113,105,99,102,0,122,42,76,114,0,47,45,0,134,27,0
MCCRACKEN,8,12,6,5,4,16,1,4,1,1,2,2,5,0,4,3,1,1,0,1,3,7,3,2,0,0,1,1,0,142,294,206,260,273,248,286,425,358,245,331,188,268,283,0,314,261,225,249,0,163,135,187,284,652,0,0,170,101,0,6,8,12,6,5,4,16,1,4,1,1,2,2,5,0,4,3,1,1,0,1,3,7,3,2,0,0,1,1,0,34,21,49,64,102,48,76,193,37,201,90,50,66,88,0,95,30,27,32,0,32,25,42,60,232,0,0,14,232,0,0
MCCREARY,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
MCLEAN,341,219,156,340,333,70,238,146,287,1,0,0,13,0,0,0,0,13,0,0,0,3,0,4,1,3,0,0,0,284,284,267,290,287,282,286,280,265,296,494,0,0,375,0,0,0,0,199,0,0,0,322,0,128,164,320,0,0,0,191,341,219,156,340,333,70,238,146,287,1,0,0,13,0,0,0,0,13,0,0,0,3,0,4,1,3,0,0,0,69,85,74,74,77,68,74,82,65,76,201,0,0,148,0,0,0,0,50,0,0,0,169,0,147,47,111,0,0,0,0
MEADE,48,40,43,15,22,33,9,15,9,6,7,3,1,2,0,3,10,15,3,6,9,29,4,10,4,9,6,10,9,318,242,272,278,301,282,227,213,326,293,274,300,265,242,186,0,238,264,281,209,242,166,212,92,220,284,172,185,152,156,55,48,40,43,15,22,33,9,15,9,6,7,3,1,2,0,3,10,15,3,6,9,29,4,10,4,9,6,10,9,52,46,62,47,44,59,50,41,87,70,68,49,33,25,34,0,43,63,36,31,46,45,50,69,33,53,57,65,48,55,0
MENIFEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,290,0,271,253,0,0,0,0,0,232,0,0,253,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,8,0,110,31,0,0,0,0,0,70,0,0,61,156,0
MERCER,0,5,3,2,9,3,0,0,0,1,0,5,2,4,4,2,0,1,3,2,3,3,3,4,1,0,8,5,12,480,0,303,190,490,293,250,0,0,0,465,0,194,162,332,100,226,0,184,267,213,212,292,218,222,262,0,142,172,144,1,0,5,3,2,9,3,0,0,0,1,0,5,2,4,4,2,0,1,3,2,3,3,3,4,1,0,8,5,12,486,0,254,288,414,380,238,0,0,0,504,0,94,42,146,14,246,0,126,190,172,283,554,299,61,80,0,34,261,48,0
METCALFE,0,3,6,4,1,11,0,1,0,4,29,4,5,2,0,3,4,2,2,0,0,8,0,1,3,0,2,17,10,274,0,272,281,428,230,196,0,352,0,234,326,294,118,161,0,115,182,197,348,0,0,134,0,77,170,0,263,225,185,4,0,3,6,4,1,11,0,1,0,4,29,4,5,2,0,3,4,2,2,0,0,8,0,1,3,0,2,17,10,72,0,43,48,77,45,45,0,100,0,107,72,192,41,162,0,43,36,36,218,0,0,81,0,10,91,0,73,91,48,0
MONROE,0,2,1,0,3,0,0,1,0,0,3,1,2,0,2,0,3,4,6,0,0,14,1,6,3,51,1,0,0,111,0,346,659,0,155,0,0,135,0,0,392,232,260,0,144,0,356,222,318,0,0,225,284,318,173,188,183,0,0,1,0,2,1,0,3,0,0,1,0,0,3,1,2,0,2,0,3,4,6,0,0,14,1,6,3,51,1,0,0,14,0,298,126,0,123,0,0,146,0,0,326,319,172,0,89,0,188,97,140,0,0,74,18,202,106,93,269,0,0,0
MONTGOMERY,0,1,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,5,1,0,0,0,3,1,0,0,0,0,241,0,131,167,0,0,0,0,0,159,0,892,0,0,0,0,0,318,0,248,234,0,0,0,188,168,0,0,0,0,1,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,5,1,0,0,0,3,1,0,0,0,0,7,0,7,29,0,0,0,0,0,34,0,220,0,0,0,0,0,46,0,68,10,0,0,0,71,16,0,0,0
MORGAN,0,3,1,0,0,0,0,0,1,5,1,1,2,2,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,180,0,156,355,0,0,0,0,0,98,172,278,302,514,362,115,327,225,0,238,0,189,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,5,1,1,2,2,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,17,0,35,28,0,0,0,0,0,19,53,329,245,467,106,167,145,40,0,44,0,297,0,0,0,0,0,0,0,0,0
MUHLENBERG,0,2,10,4,4,4,0,0,2,3,2,3,1,0,0,0,16,0,1,0,1,1,0,7,0,0,1,4,1,254,0,214,332,148,230,148,0,0,81,248,340,179,217,0,0,0,182,0,139,0,225,339,0,212,0,0,367,192,186,5,0,2,10,4,4,4,0,0,2,3,2,3,1,0,0,0,16,0,1,0,1,1,0,7,0,0,1,4,1,35,0,28,68,16,62,17,0,0,6,37,150,33,64,0,0,0,78,0,35,0,40,41,0,39,0,0,124,35,8,0
NELSON,16,30,10,11,22,19,9,4,10,13,15,16,8,13,16,9,15,38,11,30,9,48,29,22,18,25,29,11,6,329,308,367,310,272,324,318,231,264,321,496,300,236,492,301,300,265,341,296,263,297,212,239,187,254,235,174,219,185,195,57,16,30,10,11,22,19,9,4,10,13,15,16,8,13,16,9,15,38,11,30,9,48,29,22,18,25,29,11,6,69,48,62,126,46,60,54,45,44,108,208,43,72,113,57,92,73,99,63,89,111,98,56,38,88,47,52,67,32,38,0
